nome,categoria,cidade,estado,territorio,latitude,longitude,observacao
Quilombo Urbano de São Benedito,Prática Comunicacional,Manaus,Amazonas,Quilombo do Barranco,,,Localização a definir
Raimundo Cavalhier,Prática Cultural,Alagoinhas,Bahia,Comunidade do Buri,,,Localização a definir
VozesFemininas.doc,Prática Comunicacional,Amélia Rodrigues,Bahia,Quilombo da Pinguela,,,Localização a definir
Edineuza Macedo de Jesus,Prática Cultural,Banzaê,Bahia,Território de Identidade Semiárido Nordeste II,,,Localização a definir
Quilombo Maria Preta,Prática Comunicacional,Banzaê,Bahia,Quilombo Maria Preta,,,Localização a definir
Comunidade Quilombola Baixão dos Negros,Prática Comunicacional,Banzaê,Bahia,Semiárido nordeste ll,,,Localização a definir
Cultural Quilombola de Terra da Lua,Prática Comunicacional,Banzaê,Bahia,Semiárido nordeste ll,,,Localização a definir
Gilmar Pereira Alves (Gilmar do Ginete),Prática Comunicacional,Barra da Estiva,Bahia,Chapada Diamantina,,,Localização a definir
Nathalia Purificação,Prática Comunicacional,Bom Jesus da Lapa,Bahia,Território Velho Chico,,,Localização a definir
Florisvaldo Rodrigues da Silva,Prática Comunicacional,Bom Jesus da Lapa,Bahia,T. Velho Chico / Bom Jesus da Lapa,,,Localização a definir
Tabuleiro da Vitória e Guaíba,Prática Comunicacional,Cachoeira,Bahia,Quilombo Tabuleiro da Vitória e Guaíba,,,Localização a definir
Carlos Daniel,Prática Comunicacional,Cachoeira,Bahia,Quilombo Tabuleiro da Vitória e Guaíba,,,Localização a definir
Alex Matheus da Hora,Prática Cultural,Camamu,Bahia,Quilombo do Barroso,,,Localização a definir
José Fábio Santos dos Santos,Prática Comunicacional,Entre Rios,Bahia,Território de Identidade Litoral Norte,,,Localização a definir
Francisca Fonseca,Prática Comunicacional,Feira de Santana,Bahia,Quilombo Candeal,,,Localização a definir
Alaine Gama,Prática Comunicacional,Formoso,Bahia,Quilombo Bebedouro,,,Localização a definir
Quilombo Alto Terra Nova,Prática Comunicacional,Ilhéus,Bahia,"Localizada às margens da rodovia Ilhéus-Uruçuca, BA-262",,,Localização a definir
Jean Cesar Moreira da Silva(Junior),Prática Comunicacional,Jacobina,Bahia,Território de Identidade Piemonte da Diamantina,,,Localização a definir
Rede Quilombola da Chapada Norte (RQCN),Prática Comunicacional,Jacobina,Bahia,Jacobina-BA,,,Localização a definir
Manuela de Jesus Ribeiro,Prática Comunicacional,Jequié/BA,Bahia,Território de Identidade Médio Rio de Contas,,,Localização a definir
Ramon Gomes dos Reis,Prática Comunicacional,João Dourado,Bahia,Território Irecê,,,Localização a definir
Associação Comunidade Quilombola Fazenda Estiva,Prática Comunicacional,Maracás,Bahia,Associação Comunidade Quilombola Fazenda Estiva,,,Localização a definir
Maria do Socorro Santos,Prática Comunicacional,Mirangaba,Bahia,Território de Identidade Piemonte da Diamantina,,,Localização a definir
Josi,Prática Comunicacional,Mirangaba,Bahia,Comunidade Quilombola da Grota Maria,,,Localização a definir
Quilombo do Buri,Prática Comunicacional,Pedrão,Bahia,Interior da Bahia,,,Localização a definir
Rubens Celestino,Prática Cultural,Salvador,Bahia,"Região da Capital da Bahia, Salvador",,,Localização a definir
"Janaina de Jesus y,, h, ,",Prática Comunicacional,Santa Terezinha,Bahia,Território Piemonte,,,Localização a definir
Elizete Silva (Eli Odara Theodoro),Prática Comunicacional,São Félix,Bahia,Qulombo de Santo Antônio e Vidal (Território do Recôncavo),,,Localização a definir
Ananias Viana Neri,Prática Cultural,São Gonçalo dos Campos,Bahia,Território de Identidade Recôncavo,,,Localização a definir
Comunidade Quilombola Dandá,Prática Comunicacional,Simões Filho,Bahia,"Quilombo Dandá, Simões FIlho (BA)",,,Localização a definir
Jurandir Wellington Pacífico,Prática Comunicacional,Simões Filho,Bahia,"Quilombo Pitanga de Palmares, região metropolitana de Salvador (BA)",,,Localização a definir
Quilombo do Tereré,Prática Comunicacional,Vera Cruz,Bahia,Sítio histórico de Mar Grande,,,Localização a definir
Nelson (Nelson Quilombola),Prática Comunicacional,Vitória da Conquista,Bahia,Sudoeste Baiano,,,Localização a definir
Pâmela Queiroz,Prática Comunicacional,Crato,Ceará,Cariri cearense,,,Localização a definir
Coletivo de Comunicação da Conaq (Coordenação Nacional de Articulação das Comunidades Negras Rurais Quilombolas),Prática Comunicacional,Brasília,Distrito Federal,Brasil,,,Localização a definir
Thaís Rodrigues,Prática Comunicacional,Brasília,Distrito Federal,Minas Gerais,,,Localização a definir
Arilson Ventura,Prática Comunicacional,Cachoeiro de Itapemirim,Espírito Santo,"Monte Alegre, Cachoeiro do Itapemirim (ES)",,,Localização a definir
Mulheres Quilombolas,Prática Comunicacional,Conceição da Barra,Espírito Santo,Conceição da Barra (ES),,,Localização a definir
Coletivo de Mulheres Quilombola Raízes do Sapê,Prática Cultural,Conceição da Barra,Espírito Santo,Território Sapê do Norte,,,Localização a definir
Comissão Quilombola do Sapê do Norte,Prática Comunicacional,Conceição da Barra,Espírito Santo,Território Sapê do Norte,,,Localização a definir
Selma Dealdina Mbaye,Prática Comunicacional,Conceição da Barra,Espírito Santo,Território Sapê do Norte,,,Localização a definir
Comunidade Quilombola Córrego do Sossego,Prática Comunicacional,Guaçuí,Espírito Santo,Guaçuí (ES),,,Localização a definir
Associação de Mulheres Jongueiras Quilombolas de São Cristóvão,Prática Comunicacional,São Mateus,Espírito Santo,Quilombo de São Cristóvão,,,Localização a definir
Marinho MC,Prática Cultural,Alto Paraíso,Goiás,Comunidade Quilombola do Povoado do Moinho,,,Localização a definir
Comunidade Quilombola do Povoado do Moinho,Prática Comunicacional,Alto Paraíso de Goiás,Goiás,Chapada dos Veadeiros,,,Localização a definir
Ludmila Pereira,Prática Comunicacional,Barro Alto,Goiás,Quilombo Povoado Santo Antônio da Laguna,,,Localização a definir
